DEVICE_ID,time_key,OUT_LOC_ONNET_MIN,OUT_LOC_OFFNET_MIN,OUT_LOC_OFFNET_UNPAID_MIN,OUT_LOC_OFFNET_PAID_MIN,OUT_INTER_MIN,OUT_LOC_LAND_MIN,OUT_LOCAL_ONNET_SMS_AMT,OUT_LOCAL_OFFNET_SMS_AMT,OUT_LOCAL_LAND_PAID_SMS_AMT,OUT_INTER_SMS_AMT,DATA_VOLUME,LTE_DATA_VOLUME,TOTAL_ROAM_CALL_AMT,TOTAL_ROAM_SMS_AMT,TOTAL_ROAM_GPRS_MB,COUNT_CONTACT,AVG_TRANSACT_CONTACT,SUM_TRANSACT_CONTACT,AVG_DURATION_CONTACT,COUNT_BASE_STATION,FIRST_DISP_DIAG,OS_1,OS_2,OS_3,OS_4,date_issue_device,ID_NUMBER,tariff_plan_code
35463810.0,2026-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,12.2,0.0,0.0,0.0,16.0,1.875,30.0,149.75,9.0,6.4,0.0,1.0,0.0,0.0,2025-11-21,5746,tariff_8
35463910.0,2026-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,2.13,0.0,0.0,0.0,20.0,1.8,36.0,150.2,7.0,6.4,0.0,1.0,0.0,0.0,2025-11-21,5746,tariff_8
35520606.0,2026-05-01,102.95,6.98,6.98,0.0,0.0,0.72,9.0,0.0,0.0,0.0,91.11,827.46,0.0,0.0,0.0,30.0,3.433333333333333,103.0,401.8,20.0,5.1,0.0,1.0,0.0,0.0,2021-05-29,5746,tariff_8
35520606.0,2026-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.5555555555555556,28.0,146.61111111111111,4.0,5.1,0.0,1.0,0.0,0.0,2021-05-29,5746,tariff_8
35520606.0,2026-04-01,400.42,53.13,53.13,0.0,0.0,3.32,22.0,0.0,0.0,0.0,18113.0,15160.24,0.0,0.0,0.0,30.0,10.6,318.0,1142.5333333333333,20.0,5.1,0.0,1.0,0.0,0.0,2021-05-29,5746,tariff_8
35520606.0,2026-06-01,19.45,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,1.6666666666666667,35.0,180.23809523809524,7.0,5.1,0.0,1.0,0.0,0.0,2021-05-29,5746,tariff_8
35578805.0,2026-04-01,14.19,14.88,0.0,14.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.9,69.0,323.5,4.0,2.0,0.0,0.0,1.0,0.0,2020-11-05,11102,tariff_2
35578805.0,2026-07-01,8.5,16.98,0.0,16.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.714285714285714,75.0,792.7142857142858,3.0,2.0,0.0,0.0,1.0,0.0,2020-11-05,11102,tariff_2
35578805.0,2026-05-01,5.55,4.08,0.0,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.625,37.0,140.625,3.0,2.0,0.0,0.0,1.0,0.0,2020-11-05,11102,tariff_2
35578805.0,2026-09-01,2.94,5.88,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.285714285714286,30.0,161.0,3.0,2.0,0.0,0.0,1.0,0.0,2020-11-05,11102,tariff_2
