feature,unit,description
ID_NUMBER,-,Уникальный номер абонента
time_key / TIME_KEY,месяц,Месяц агрегации показателя
tariff_plan_code,-,Тарифный план абонента в этом месяце
OUT_LOC_ONNET_MIN,мин/мес,Исходящие минуты на абонентов своего оператора
OUT_LOC_OFFNET_MIN,мин/мес,Исходящие минуты на абонентов других операторов
OUT_LOC_OFFNET_UNPAID_MIN,мин/мес,Из них — бесплатные (в рамках пакета)
OUT_LOC_OFFNET_PAID_MIN,мин/мес,Из них — платные (сверх пакета)
OUT_INTER_MIN,мин/мес,Международные исходящие минуты
OUT_LOC_LAND_MIN,мин/мес,Исходящие минуты на городские (стационарные) номера
OUT_LOCAL_ONNET_SMS_AMT,шт/мес,SMS на абонентов своего оператора
OUT_LOCAL_OFFNET_SMS_AMT,шт/мес,SMS на абонентов других операторов
OUT_LOCAL_LAND_PAID_SMS_AMT,шт/мес,Платные SMS на городские номера
OUT_INTER_SMS_AMT,шт/мес,Международные SMS
DATA_VOLUME,МБ/мес,Общий объём интернет-трафика (GPRS/3G/4G)
LTE_DATA_VOLUME,МБ/мес,Из них — трафик в сети 4G/LTE
TOTAL_ROAM_CALL_AMT,мин/мес,Минуты звонков в роуминге
TOTAL_ROAM_SMS_AMT,шт/мес,SMS в роуминге
TOTAL_ROAM_GPRS_MB,МБ/мес,Интернет-трафик в роуминге
COUNT_CONTACT,шт,"Число уникальных контактов (номеров), с которыми было взаимодействие за месяц"
AVG_TRANSACT_CONTACT,шт (уточнить),Среднее число транзакций (звонков/SMS) на один контакт
SUM_TRANSACT_CONTACT,шт,Суммарное число транзакций по всем контактам за месяц
AVG_DURATION_CONTACT,уточнить (сек/мин),Средняя продолжительность звонков среди всех контактов
COUNT_BASE_STATION,шт,Число уникальных базовых станций за месяц (косвенный признак мобильности абонента)
FIRST_DISP_DIAG,дюймы (уточнить),"Диагональ экрана телефона, активного в этом месяце"
OS_1,-,"ОС телефона, уровень 1 (платформа, напр. Android/iOS)"
OS_2,-,"ОС телефона, уровень 2 (детализация — уточнить у источника)"
OS_3,-,"ОС телефона, уровень 3 (детализация — уточнить у источника)"
OS_4,-,"ОС телефона, уровень 4 (детализация — уточнить у источника)"
date_issue_device,дата,Дата выпуска модели смартфона
ARPU_1M,у.е./мес (валюта в источнике не указана),Выручка на абонента за месяц
AVG_ARPU_PREV_3M,у.е./мес (валюта в источнике не указана),Среднее ARPU за 3 месяца ДО смены тарифа
AVG_ARPU_NEXT_3M,у.е./мес (валюта в источнике не указана),Среднее ARPU за 3 месяца ПОСЛЕ смены тарифа
tariff_plan_code_from / _to,-,"Тариф, с которого/на который перешёл абонент"
DIRECTION_OF_CHANGE,-,UPSELL / DOWNSELL / FLAT — как изменилось ARPU после смены (порог ±10%)
Data_in_PKG,МБ,"Объём интернета, включённый в тариф"
Min_another_operator_in_PKG,мин,"Минуты на других операторов, включённые в тариф"
Min_another_operator_and_city_in_PKG,мин,"Минуты на других операторов и городские номера, включённые в тариф"
price_tariff,у.е./мес (валюта в источнике не указана),Стоимость тарифного плана
