Data_in_PKG,Min_another_operator_in_PKG,Min_another_operator_and_city_in_PKG,price_tariff,tariff_plan_code,description
0,0,0,0.0,tariff_1,0.0 — стоимость тарифа в мес.; без интернета в пакете
0,30,0,3108.6,tariff_13,"3,108.6 — стоимость тарифа в мес.; без интернета в пакете; 30 мин. на других операторов в пакете"
2048,0,0,3140.0,tariff_2,"3,140.0 — стоимость тарифа в мес.; 2,048 МБ интернета в пакете"
0,50,0,3422.6,tariff_15,"3,422.6 — стоимость тарифа в мес.; без интернета в пакете; 50 мин. на других операторов в пакете"
10240,150,0,4364.6,tariff_9,"4,364.6 — стоимость тарифа в мес.; 10,240 МБ интернета в пакете; 150 мин. на других операторов в пакете"
12288,150,0,4364.6,tariff_16,"4,364.6 — стоимость тарифа в мес.; 12,288 МБ интернета в пакете; 150 мин. на других операторов в пакете"
4096,40,0,4678.6,tariff_4,"4,678.6 — стоимость тарифа в мес.; 4,096 МБ интернета в пакете; 40 мин. на других операторов в пакете"
7168,40,0,4992.6,tariff_17,"4,992.6 — стоимость тарифа в мес.; 7,168 МБ интернета в пакете; 40 мин. на других операторов в пакете"
10240,80,0,5620.6,tariff_3,"5,620.6 — стоимость тарифа в мес.; 10,240 МБ интернета в пакете; 80 мин. на других операторов в пакете"
8192,80,0,5934.6,tariff_5,"5,934.6 — стоимость тарифа в мес.; 8,192 МБ интернета в пакете; 80 мин. на других операторов в пакете"
8192,80,0,5934.6,tariff_6,"5,934.6 — стоимость тарифа в мес.; 8,192 МБ интернета в пакете; 80 мин. на других операторов в пакете"
8192,80,0,5934.6,tariff_7,"5,934.6 — стоимость тарифа в мес.; 8,192 МБ интернета в пакете; 80 мин. на других операторов в пакете"
8192,80,0,5934.6,tariff_8,"5,934.6 — стоимость тарифа в мес.; 8,192 МБ интернета в пакете; 80 мин. на других операторов в пакете"
12288,80,0,6248.6,tariff_18,"6,248.6 — стоимость тарифа в мес.; 12,288 МБ интернета в пакете; 80 мин. на других операторов в пакете"
20480,200,0,6248.6,tariff_21,"6,248.6 — стоимость тарифа в мес.; 20,480 МБ интернета в пакете; 200 мин. на других операторов в пакете"
15360,100,0,6562.6,tariff_20,"6,562.6 — стоимость тарифа в мес.; 15,360 МБ интернета в пакете; 100 мин. на других операторов в пакете"
3072,80,0,6908.0,tariff_19,"6,908.0 — стоимость тарифа в мес.; 3,072 МБ интернета в пакете; 80 мин. на других операторов в пакете"
2048,80,0,7410.4,tariff_14,"7,410.4 — стоимость тарифа в мес.; 2,048 МБ интернета в пакете; 80 мин. на других операторов в пакете"
12288,120,0,7504.6,tariff_10,"7,504.6 — стоимость тарифа в мес.; 12,288 МБ интернета в пакете; 120 мин. на других операторов в пакете"
20480,200,0,9388.6,tariff_11,"9,388.6 — стоимость тарифа в мес.; 20,480 МБ интернета в пакете; 200 мин. на других операторов в пакете"
30720,0,300,12528.6,tariff_12,"12,528.6 — стоимость тарифа в мес.; 30,720 МБ интернета в пакете; 300 мин. на других операторов и городские номера в пакете"
